DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
GU9J;10/09/2016;10:30;WS Bellegem A;VK Dadizele ;;;;2;06114;08264
GU9J;10/09/2016;10:30;K. Eendr. Wervik B;K. FC Lendelede Sport ;;;;2;03694;04827
GU9J;17/09/2016;09:15;VK Dadizele ;K. WS Lauwe ;;;;3;08264;00535
GU9J;17/09/2016;10:30;WS Bellegem A;K. SK Geluwe ;;;;3;06114;01815
GU9J;17/09/2016;10:45;K. Sint-Eloois-Winkel Sp. ;K. Eendr. Wervik B;;;;3;04408;03694
GU9J;17/09/2016;10:45;K. FC Lendelede Sport ;Racing Club Harelbeke ;;;;3;04827;01574
GU9J;24/09/2016;09:15;K. SK Geluwe ;VK Dadizele ;;;;4;01815;08264
GU9J;24/09/2016;09:15;Racing Club Harelbeke ;K. Sint-Eloois-Winkel Sp. ;;;;4;01574;04408
GU9J;24/09/2016;10:30;K. Eendr. Wervik B;WS Bellegem A;;;;4;03694;06114
GU9J;24/09/2016;10:30;K. WS Lauwe ;K. FC Lendelede Sport ;;;;4;00535;04827
GU9J;01/10/2016;09:15;VK Dadizele ;K. FC Lendelede Sport ;;;;5;08264;04827
GU9J;01/10/2016;09:15;K. SK Geluwe ;K. Eendr. Wervik B;;;;5;01815;03694
GU9J;01/10/2016;09:30;K. Sint-Eloois-Winkel Sp. ;K. WS Lauwe ;;;;5;04408;00535
GU9J;01/10/2016;10:30;WS Bellegem A;Racing Club Harelbeke ;;;;5;06114;01574
GU9J;08/10/2016;09:15;Racing Club Harelbeke ;K. SK Geluwe ;;;;6;01574;01815
GU9J;08/10/2016;09:15;VK Dadizele ;K. Eendr. Wervik B;;;;6;08264;03694
GU9J;08/10/2016;10:30;K. WS Lauwe ;WS Bellegem A;;;;6;00535;06114
GU9J;08/10/2016;10:45;K. FC Lendelede Sport ;K. Sint-Eloois-Winkel Sp. ;;;;6;04827;04408
GU9J;15/10/2016;09:15;K. SK Geluwe ;K. WS Lauwe ;;;;7;01815;00535
GU9J;15/10/2016;09:30;K. Sint-Eloois-Winkel Sp. ;VK Dadizele ;;;;7;04408;08264
GU9J;15/10/2016;10:30;WS Bellegem A;K. FC Lendelede Sport ;;;;7;06114;04827
