DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
G11Y;01/10/2016;10:00;Verbr.Arendonk B;KSK Oosthoven B;;;;5;00915;02820
G11Y;01/10/2016;11:00;FC Turnhout ;KSV Oud Turnhout ;;;;5;00148;03327
G11Y;01/10/2016;12:00;K. Merksplas SK B;KFC Vrij Arendonk ;;;;5;03256;06561
G11Y;01/10/2016;12:30;KSK Kasterlee R;KFC Flandria ;;;;5;03734;03194
G11Y;08/10/2016;10:45;KSK Oosthoven B;K. Merksplas SK B;;;;6;02820;03256
G11Y;08/10/2016;11:00;KSV Oud Turnhout ;Verbr.Arendonk B;;;;6;03327;00915
G11Y;08/10/2016;12:30;KFC Flandria ;FC Turnhout ;;;;6;03194;00148
G11Y;08/10/2016;12:30;KSK Kasterlee R;KFC Vrij Arendonk ;;;;6;03734;06561
G11Y;13/10/2016;18:30;Verbr.Arendonk B;KFC Flandria ;;;;7;00915;03194
G11Y;15/10/2016;09:30;FC Turnhout ;KSK Kasterlee R;;;;7;00148;03734
G11Y;15/10/2016;12:00;K. Merksplas SK B;KSV Oud Turnhout ;;;;7;03256;03327
G11Y;15/10/2016;12:30;KFC Vrij Arendonk ;KSK Oosthoven B;;;;7;06561;02820
G11Y;22/10/2016;10:00;Verbr.Arendonk B;FC Turnhout ;;;;8;00915;00148
G11Y;22/10/2016;10:45;KSK Oosthoven B;KSK Kasterlee R;;;;8;02820;03734
G11Y;22/10/2016;12:00;K. Merksplas SK B;KFC Flandria ;;;;8;03256;03194
G11Y;22/10/2016;12:30;KFC Vrij Arendonk ;KSV Oud Turnhout ;;;;8;06561;03327
G11Y;05/11/2016;09:00;FC Turnhout ;K. Merksplas SK B;;;;9;00148;03256
G11Y;05/11/2016;10:00;KSK Kasterlee R;Verbr.Arendonk B;;;;9;03734;00915
G11Y;05/11/2016;11:00;KSV Oud Turnhout ;KSK Oosthoven B;;;;9;03327;02820
G11Y;05/11/2016;12:30;KFC Flandria ;KFC Vrij Arendonk ;;;;9;03194;06561
G11Y;12/11/2016;10:45;KSK Oosthoven B;KFC Flandria ;;;;10;02820;03194
G11Y;12/11/2016;11:00;KSV Oud Turnhout ;KSK Kasterlee R;;;;10;03327;03734
G11Y;12/11/2016;12:00;K. Merksplas SK B;Verbr.Arendonk B;;;;10;03256;00915
G11Y;12/11/2016;12:30;KFC Vrij Arendonk ;FC Turnhout ;;;;10;06561;00148
G11Y;19/11/2016;09:30;FC Turnhout ;KSK Oosthoven B;;;PP;11;00148;02820
G11Y;19/11/2016;10:00;Verbr.Arendonk B;KFC Vrij Arendonk ;;;PP;11;00915;06561
G11Y;19/11/2016;12:30;KFC Flandria ;KSV Oud Turnhout ;;;PP;11;03194;03327
G11Y;19/11/2016;12:30;KSK Kasterlee R;K. Merksplas SK B;;;PP;11;03734;03256
G11Y;26/11/2016;10:45;KSK Oosthoven B;Verbr.Arendonk B;;;;12;02820;00915
G11Y;26/11/2016;11:00;KSV Oud Turnhout ;FC Turnhout ;;;;12;03327;00148
G11Y;26/11/2016;12:30;KFC Vrij Arendonk ;K. Merksplas SK B;;;;12;06561;03256
G11Y;26/11/2016;12:30;KFC Flandria ;KSK Kasterlee R;;;;12;03194;03734
G11Y;03/12/2016;09:30;FC Turnhout ;KFC Flandria ;;;;13;00148;03194
G11Y;03/12/2016;10:00;Verbr.Arendonk B;KSV Oud Turnhout ;;;;13;00915;03327
G11Y;03/12/2016;12:00;K. Merksplas SK B;KSK Oosthoven B;;;;13;03256;02820
G11Y;03/12/2016;12:30;KFC Vrij Arendonk ;KSK Kasterlee R;;;;13;06561;03734
G11Y;10/12/2016;10:45;KSK Oosthoven B;KFC Vrij Arendonk ;;;;14;02820;06561
G11Y;10/12/2016;11:00;KSV Oud Turnhout ;K. Merksplas SK B;;;;14;03327;03256
G11Y;10/12/2016;12:30;KFC Flandria ;Verbr.Arendonk B;;;;14;03194;00915
G11Y;10/12/2016;12:30;KSK Kasterlee R;FC Turnhout ;;;;14;03734;00148
G11Z;03/09/2016;10:00;KSK Branddonk ;FC Punt-Larum ;;;;1;05927;07813
G11Z;03/09/2016;10:15;VV Laakdal ;KFC Ezaart Sp. B;;;;8;04430;04190
G11Z;03/09/2016;13:00;K. Zwal. Olmen ;Witgoor Sp.Dessel ;;;;1;02218;02065
G11Z;03/09/2016;13:00;K. Berg en Dal VV ;KFC Beekhoek Sp. B;;;;8;03057;05925
G11Z;10/09/2016;10:00;KSK Branddonk ;K. Berg en Dal VV ;;;;9;05927;03057
G11Z;10/09/2016;11:00;KFC Beekhoek Sp. B;VV Laakdal ;;;;9;05925;04430
G11Z;10/09/2016;14:30;FC Punt-Larum ;K. Zwal. Olmen ;;;;2;07813;02218
G11Z;10/09/2016;14:30;Witgoor Sp.Dessel ;KFC Ezaart Sp. B;;;;2;02065;04190
G11Z;17/09/2016;10:15;VV Laakdal ;KSK Branddonk ;;;;10;04430;05927
G11Z;17/09/2016;13:00;KFC Ezaart Sp. B;KFC Beekhoek Sp. B;;;;3;04190;05925
G11Z;17/09/2016;14:30;Witgoor Sp.Dessel ;FC Punt-Larum ;;;;3;02065;07813
G11Z;17/09/2016;14:30;K. Zwal. Olmen ;K. Berg en Dal VV ;;;;3;02218;03057
G11Z;24/09/2016;10:00;K. Zwal. Olmen ;VV Laakdal ;;;;11;02218;04430
G11Z;24/09/2016;12:45;KFC Beekhoek Sp. B;KSK Branddonk ;;;;4;05925;05927
G11Z;24/09/2016;13:00;K. Berg en Dal VV ;Witgoor Sp.Dessel ;;;;4;03057;02065
G11Z;24/09/2016;14:30;FC Punt-Larum ;KFC Ezaart Sp. B;;;;4;07813;04190
G11Z;01/10/2016;11:00;FC Punt-Larum ;K. Berg en Dal VV ;;;;5;07813;03057
G11Z;01/10/2016;13:00;KFC Ezaart Sp. B;KSK Branddonk ;;;;5;04190;05927
G11Z;01/10/2016;14:30;Witgoor Sp.Dessel ;VV Laakdal ;;;;5;02065;04430
G11Z;01/10/2016;17:30;K. Zwal. Olmen ;KFC Beekhoek Sp. B;;;;5;02218;05925
G11Z;08/10/2016;10:00;KSK Branddonk ;K. Zwal. Olmen ;;;;6;05927;02218
G11Z;08/10/2016;10:15;VV Laakdal ;FC Punt-Larum ;;;;6;04430;07813
G11Z;08/10/2016;12:45;KFC Beekhoek Sp. B;Witgoor Sp.Dessel ;;;;6;05925;02065
G11Z;08/10/2016;13:00;K. Berg en Dal VV ;KFC Ezaart Sp. B;;;;13;03057;04190
G11Z;12/10/2016;18:30;K. Berg en Dal VV ;VV Laakdal ;;;;7;03057;04430
G11Z;15/10/2016;12:00;FC Punt-Larum ;KFC Beekhoek Sp. B;;;;7;07813;05925
G11Z;15/10/2016;13:00;K. Zwal. Olmen ;KFC Ezaart Sp. B;;;;7;02218;04190
G11Z;15/10/2016;14:30;Witgoor Sp.Dessel ;KSK Branddonk ;;;;7;02065;05927
G11Z;22/10/2016;09:30;KFC Beekhoek Sp. B;K. Berg en Dal VV ;;;;1;05925;03057
G11Z;22/10/2016;13:00;KFC Ezaart Sp. B;VV Laakdal ;;;;1;04190;04430
G11Z;22/10/2016;14:30;FC Punt-Larum ;KSK Branddonk ;;;;8;07813;05927
G11Z;22/10/2016;14:30;Witgoor Sp.Dessel ;K. Zwal. Olmen ;;;;8;02065;02218
G11Z;05/11/2016;10:00;K. Zwal. Olmen ;FC Punt-Larum ;;;;9;02218;07813
G11Z;05/11/2016;10:15;VV Laakdal ;KFC Beekhoek Sp. B;;;;2;04430;05925
G11Z;05/11/2016;13:00;KFC Ezaart Sp. B;Witgoor Sp.Dessel ;;;;9;04190;02065
G11Z;05/11/2016;13:00;K. Berg en Dal VV ;KSK Branddonk ;;;;2;03057;05927
G11Z;09/11/2016;14:00;KFC Beekhoek Sp. B;KFC Ezaart Sp. B;;;;10;05925;04190
G11Z;12/11/2016;10:00;KSK Branddonk ;VV Laakdal ;;;;3;05927;04430
G11Z;12/11/2016;12:00;FC Punt-Larum ;Witgoor Sp.Dessel ;;;;10;07813;02065
G11Z;12/11/2016;13:00;K. Berg en Dal VV ;K. Zwal. Olmen ;;;;10;03057;02218
G11Z;19/11/2016;10:00;KSK Branddonk ;KFC Beekhoek Sp. B;;;PP;11;05927;05925
G11Z;19/11/2016;10:15;VV Laakdal ;K. Zwal. Olmen ;;;PP;4;04430;02218
G11Z;19/11/2016;13:00;KFC Ezaart Sp. B;FC Punt-Larum ;;;PP;11;04190;07813
G11Z;19/11/2016;14:30;Witgoor Sp.Dessel ;K. Berg en Dal VV ;;;PP;11;02065;03057
G11Z;26/11/2016;10:00;KSK Branddonk ;KFC Ezaart Sp. B;;;;12;05927;04190
G11Z;26/11/2016;10:15;VV Laakdal ;Witgoor Sp.Dessel ;;;;12;04430;02065
G11Z;26/11/2016;12:45;KFC Beekhoek Sp. B;K. Zwal. Olmen ;;;;12;05925;02218
G11Z;26/11/2016;13:00;K. Berg en Dal VV ;FC Punt-Larum ;;;;12;03057;07813
G11Z;03/12/2016;13:00;K. Zwal. Olmen ;KSK Branddonk ;;;;13;02218;05927
G11Z;03/12/2016;13:00;KFC Ezaart Sp. B;K. Berg en Dal VV ;;;;6;04190;03057
G11Z;03/12/2016;14:30;FC Punt-Larum ;VV Laakdal ;;;;13;07813;04430
G11Z;03/12/2016;14:30;Witgoor Sp.Dessel ;KFC Beekhoek Sp. B;;;;13;02065;05925
G11Z;10/12/2016;10:00;KSK Branddonk ;Witgoor Sp.Dessel ;;;;14;05927;02065
G11Z;10/12/2016;10:15;VV Laakdal ;K. Berg en Dal VV ;;;;14;04430;03057
G11Z;10/12/2016;12:45;KFC Beekhoek Sp. B;FC Punt-Larum ;;;;14;05925;07813
G11Z;10/12/2016;13:00;KFC Ezaart Sp. B;K. Zwal. Olmen ;;;;14;04190;02218
P10A;03/09/2016;09:30;K. Sint Job FC A;SK sGravenwezel-Schilde A;;;;1;03514;04536
P10A;03/09/2016;09:30;KFC Antonia A;KVC Olympic Deurne ;;;;1;01143;00500
P10A;03/09/2016;12:45;KFC Zwarte Leeuw A;VC Herentals ;;;;1;01124;09364
P10A;03/09/2016;13:30;KFC Lille A;K Ternesse VV A;;;;1;02618;01085
P10A;10/09/2016;09:30;KVC Olympic Deurne ;KFC Lille A;;;;2;00500;02618
P10A;10/09/2016;09:30;SK sGravenwezel-Schilde A;KFC Zwarte Leeuw A;;;;2;04536;01124
P10A;10/09/2016;10:00;K Ternesse VV A;K. Sint Job FC A;;;;2;01085;03514
P10A;10/09/2016;12:15;VC Herentals ;KFC Antonia A;;;;2;09364;01143
P10A;17/09/2016;09:30;K. Sint Job FC A;KFC Zwarte Leeuw A;;;;3;03514;01124
P10A;17/09/2016;09:30;KFC Antonia A;SK sGravenwezel-Schilde A;;;;3;01143;04536
P10A;17/09/2016;10:00;K Ternesse VV A;KVC Olympic Deurne ;;;;3;01085;00500
P10A;17/09/2016;13:30;KFC Lille A;VC Herentals ;;;;3;02618;09364
P10A;24/09/2016;09:30;SK sGravenwezel-Schilde A;KFC Lille A;;;;4;04536;02618
P10A;24/09/2016;09:30;KVC Olympic Deurne ;K. Sint Job FC A;;;;4;00500;03514
P10A;24/09/2016;12:15;VC Herentals ;K Ternesse VV A;;;;4;09364;01085
P10A;24/09/2016;12:45;KFC Zwarte Leeuw A;KFC Antonia A;;;;4;01124;01143
P10A;01/10/2016;09:30;KVC Olympic Deurne ;VC Herentals ;;;;5;00500;09364
P10A;01/10/2016;09:30;K. Sint Job FC A;KFC Antonia A;;;;5;03514;01143
P10A;01/10/2016;10:00;K Ternesse VV A;SK sGravenwezel-Schilde A;;;;5;01085;04536
P10A;01/10/2016;13:30;KFC Lille A;KFC Zwarte Leeuw A;;;;5;02618;01124
P10A;08/10/2016;09:30;SK sGravenwezel-Schilde A;KVC Olympic Deurne ;;;;6;04536;00500
P10A;08/10/2016;09:30;KFC Antonia A;KFC Lille A;;;;6;01143;02618
P10A;08/10/2016;09:30;K. Sint Job FC A;VC Herentals ;;;;6;03514;09364
P10A;08/10/2016;12:45;KFC Zwarte Leeuw A;K Ternesse VV A;;;;6;01124;01085
P10A;15/10/2016;09:30;KVC Olympic Deurne ;KFC Zwarte Leeuw A;;;;7;00500;01124
P10A;15/10/2016;10:00;K Ternesse VV A;KFC Antonia A;;;;7;01085;01143
