DIV;DATE;HOUR;HOME;AWAY;RH;RA;STATUS;MD;REGNUMBERHOME;REGNUMBERAWAY
U8H;26/11/2016;09:30;E. Louwel B;Diepenbeek VVDZ B;;;;13;06921;05004
U8H;26/11/2016;10:00;K.M.R. Biesen A;Godsheide VV ;;;;13;04548;05715
U8H;27/11/2016;09:30;FC Veldwezelt A;VV Hoeselt A;;;;13;09613;01479
U8H;03/12/2016;09:30;VV Hoeselt A;E. Louwel B;;;;14;01479;06921
U8H;03/12/2016;10:00;Turkse Rangers ;FC Veldwezelt A;;;;14;09147;09613
U8H;03/12/2016;12:00;Godsheide VV ;WS Schoonbeek-Beverst A;;;;14;05715;02727
U8H;03/12/2016;13:00;Diepenbeek VVDZ B;K.M.R. Biesen A;;;;14;05004;04548
U8I;03/09/2016;10:30;HIH Hoepertingen ;RDK Gravelo ;;;;1;02399;06711
U8I;03/09/2016;11:00;V. 's Herenelderen A;WS Schoonbeek-Beverst B;;;;1;01669;02727
U8I;03/09/2016;12:30;SK Tongeren C;K.M.R. Biesen B;;;;1;00054;04548
U8I;04/09/2016;10:00;Herk Sport ;Sp. Kolmont A;;;;1;05905;05120
U8I;07/09/2016;18:30;K.M.R. Biesen B;Herk Sport ;;;;2;04548;05905
U8I;10/09/2016;09:30;Sp. Kolmont A;HIH Hoepertingen ;;;;2;05120;02399
U8I;10/09/2016;11:00;WS Schoonbeek-Beverst B;SK Tongeren C;;;;2;02727;00054
U8I;11/09/2016;11:15;RDK Gravelo ;V. 's Herenelderen A;;;;2;06711;01669
U8I;17/09/2016;10:30;HIH Hoepertingen ;K.M.R. Biesen B;;;;3;02399;04548
U8I;17/09/2016;11:00;WS Schoonbeek-Beverst B;RDK Gravelo ;;;;3;02727;06711
U8I;17/09/2016;11:00;V. 's Herenelderen A;Sp. Kolmont A;;;;3;01669;05120
U8I;17/09/2016;12:30;SK Tongeren C;Herk Sport ;;;;3;00054;05905
U8I;23/09/2016;18:30;K.M.R. Biesen B;V. 's Herenelderen A;;;;4;04548;01669
U8I;24/09/2016;09:30;Sp. Kolmont A;WS Schoonbeek-Beverst B;;;;4;05120;02727
U8I;24/09/2016;14:15;RDK Gravelo ;SK Tongeren C;;;;4;06711;00054
U8I;25/09/2016;10:00;Herk Sport ;HIH Hoepertingen ;;;;4;05905;02399
U8I;01/10/2016;11:00;WS Schoonbeek-Beverst B;K.M.R. Biesen B;;;;5;02727;04548
U8I;01/10/2016;11:00;V. 's Herenelderen A;Herk Sport ;;;;5;01669;05905
U8I;01/10/2016;12:30;SK Tongeren C;HIH Hoepertingen ;;;;5;00054;02399
U8I;01/10/2016;14:15;RDK Gravelo ;Sp. Kolmont A;;;;5;06711;05120
U8I;08/10/2016;10:00;K.M.R. Biesen B;RDK Gravelo ;;;;6;04548;06711
U8I;08/10/2016;10:30;HIH Hoepertingen ;V. 's Herenelderen A;;;;6;02399;01669
U8I;08/10/2016;12:30;Sp. Kolmont A;SK Tongeren C;;;;13;05120;00054
U8I;09/10/2016;10:00;Herk Sport ;WS Schoonbeek-Beverst B;;;;6;05905;02727
U8I;13/10/2016;18:00;Sp. Kolmont A;K.M.R. Biesen B;;;;7;05120;04548
U8I;15/10/2016;09:15;RDK Gravelo ;Herk Sport ;;;;7;06711;05905
U8I;15/10/2016;11:00;WS Schoonbeek-Beverst B;HIH Hoepertingen ;;;;7;02727;02399
U8I;15/10/2016;11:00;V. 's Herenelderen A;SK Tongeren C;;;;7;01669;00054
U8I;22/10/2016;09:30;Sp. Kolmont A;Herk Sport ;;;;8;05120;05905
U8I;22/10/2016;10:00;K.M.R. Biesen B;SK Tongeren C;;;;8;04548;00054
U8I;22/10/2016;11:00;WS Schoonbeek-Beverst B;V. 's Herenelderen A;;;;8;02727;01669
U8I;22/10/2016;14:15;RDK Gravelo ;HIH Hoepertingen ;;;;8;06711;02399
U8I;29/10/2016;10:30;HIH Hoepertingen ;Sp. Kolmont A;;;;9;02399;05120
U8I;29/10/2016;11:00;V. 's Herenelderen A;RDK Gravelo ;;;;9;01669;06711
U8I;30/10/2016;09:30;SK Tongeren C;WS Schoonbeek-Beverst B;;;;9;00054;02727
U8I;30/10/2016;10:00;Herk Sport ;K.M.R. Biesen B;;;;9;05905;04548
U8I;05/11/2016;09:15;RDK Gravelo ;WS Schoonbeek-Beverst B;;;;10;06711;02727
U8I;05/11/2016;09:30;Sp. Kolmont A;V. 's Herenelderen A;;;;10;05120;01669
U8I;05/11/2016;10:00;K.M.R. Biesen B;HIH Hoepertingen ;;;;10;04548;02399
U8I;06/11/2016;10:00;Herk Sport ;SK Tongeren C;;;;10;05905;00054
U8I;12/11/2016;10:30;HIH Hoepertingen ;Herk Sport ;;;;11;02399;05905
U8I;12/11/2016;11:00;WS Schoonbeek-Beverst B;Sp. Kolmont A;;;;11;02727;05120
U8I;12/11/2016;11:00;V. 's Herenelderen A;K.M.R. Biesen B;;;;11;01669;04548
U8I;12/11/2016;12:30;SK Tongeren C;RDK Gravelo ;;;;11;00054;06711
U8I;19/11/2016;09:30;Sp. Kolmont A;RDK Gravelo ;;;;12;05120;06711
U8I;19/11/2016;10:00;K.M.R. Biesen B;WS Schoonbeek-Beverst B;;;;12;04548;02727
U8I;19/11/2016;13:30;HIH Hoepertingen ;SK Tongeren C;;;;12;02399;00054
U8I;20/11/2016;10:00;Herk Sport ;V. 's Herenelderen A;;;;12;05905;01669
U8I;26/11/2016;10:30;SK Tongeren C;Sp. Kolmont A;;;;6;00054;05120
